ID,Decidim Commentable Type,Decidim Commentable ID,Decidim Author ID,Created At,Updated At,Depth,Alignment,Decidim User Group ID,Decidim Root Commentable Type,Decidim Root Commentable ID,Decidim Author Type,Body,Comments Count,Decidim Participatory Space Type,Decidim Participatory Space ID,Deleted At,Status,Sensitive Content
29120,Decidim::Proposals::Proposal,19797,144114,2024-09-10T23:07:44.135139,2024-09-10T23:07:44.135139,0,0,,Decidim::Proposals::Proposal,19797,Decidim::UserBaseEntity,"{""pt-BR"": ""Pauta urgentemente necessária.""}",0,Decidim::ParticipatoryProcess,4,,0,false
29121,Decidim::Proposals::Proposal,20041,1572359,2024-09-10T23:21:12.215544,2024-09-10T23:21:12.215544,0,0,,Decidim::Proposals::Proposal,20041,Decidim::UserBaseEntity,"{""pt-BR"": ""Excelente proposta! O Canal Campos Macaé possui grande importância histórica para o país e precisa ser revitalizado!""}",0,Decidim::ParticipatoryProcess,4,,0,false
29122,Decidim::Proposals::Proposal,19797,1572354,2024-09-10T23:21:48.306549,2024-09-10T23:21:48.306549,0,0,,Decidim::Proposals::Proposal,19797,Decidim::UserBaseEntity,"{""pt-BR"": ""Recomendo a exemplo da Legislação Ambiental nas Resoluções Conama, a explicita responsabilização penal, administrativa e cível  no descumprimento da implementação do Plano e da Política e efetivamente exigir o cumprimento da lei que obriga o ensino de educação pelo meio ambiente na rede pública.""}",0,Decidim::ParticipatoryProcess,4,,0,false
29123,Decidim::Proposals::Proposal,19797,446190,2024-09-10T23:22:13.915987,2024-09-10T23:22:13.915987,0,0,,Decidim::Proposals::Proposal,19797,Decidim::UserBaseEntity,"{""pt-BR"": ""É urgente pensar e agir!""}",0,Decidim::ParticipatoryProcess,4,,0,false
29124,Decidim::Proposals::Proposal,19797,1572380,2024-09-10T23:33:57.946724,2024-09-10T23:33:57.946724,0,0,,Decidim::Proposals::Proposal,19797,Decidim::UserBaseEntity,"{""pt-BR"": ""Impossível continuar desdenhando tanto !!!""}",0,Decidim::ParticipatoryProcess,4,,0,false
29125,Decidim::Proposals::Proposal,19797,1572388,2024-09-10T23:38:42.721637,2024-09-10T23:38:42.721637,0,0,,Decidim::Proposals::Proposal,19797,Decidim::UserBaseEntity,"{""pt-BR"": ""Me faz muito sentido a criaçăo de uma Política Nacional de Emergência Climática ( PNEC) que possa diagnosticar preventivamente as áreas de riscos e implementar medidas que favoreçam a populaçăo""}",0,Decidim::ParticipatoryProcess,4,,0,false
30283,Decidim::Proposals::Proposal,20451,1584264,2024-10-30T00:54:19.207925,2024-11-12T01:09:44.188848,0,0,,Decidim::Proposals::Proposal,20451,Decidim::UserBaseEntity,"{""pt-BR"": ""A afirmação reflete a necessidade de transição para um modelo econômico que considere os custos ambientais e busque alternativas sustentáveis para evitar os desastres climáticos também em vista do impacto econômico negativa que eles causam (Ao gerar um custo de 140 bilhões de dólares), assim como para evitar as externalidades negativas advindas do atual modelo econômico que utiliza os recursos naturais de forma irresponsável, sem considerar os efeitos para as futuras gerações bem como o impacto ambiental que tal arquitetura de exploração econômica pode suscitar.\n\n\n\n\n\n""}",0,Decidim::ParticipatoryProcess,15,,2,false
30309,Decidim::Proposals::Proposal,20464,641755,2024-10-30T12:56:27.67984,2024-11-12T00:21:21.037969,0,0,,Decidim::Proposals::Proposal,20464,Decidim::UserBaseEntity,"{""pt-BR"": ""\""...e restauração das florestas tropicais, sendo gestionado pelas autoridades indígenas, quilombolas, e demais grupos étnicos responsáveis pela ´proteção de cada fragmento florestal.\""""}",0,Decidim::ParticipatoryProcess,15,,1,false
29126,Decidim::Proposals::Proposal,19797,1572390,2024-09-10T23:56:48.570882,2024-09-10T23:56:48.570882,0,0,,Decidim::Proposals::Proposal,19797,Decidim::UserBaseEntity,"{""pt-BR"": ""Ouço em casa desde criança  minha mãe,  bióloga comentando sobre as palestras de José Lutzemberg,  sobre o risco da Amazônia  se tornar seca como o Saara, caso o seu desmatamento continuasse a ocorrer. Ao mesmo tempo, cresci vendo meu pai, engenheiro,  pesquisar combustíveis sustentáveis pra motores de combustão, já que ele, previa a limitação do uso de combustível fóssil. \nE acima de tudo sempre convivi com o discurso do quanto é  fundamental  que o governo invista mais dinheiro na Educação  e Cultura,  para tornar a população mais saudável e apta a criar soluções para as suas vidas e para a vida da coletividade.\nEstudei em escolas publicas incríveis, que complementaram essa visão ampla que tive o privilégio de ter em casa. Porém, vi também, eu ainda criança, diretores(as),  professores(as) serem presos(as), torturados(as) e assassinados(as) e a educação no país caindo ribanceira abaixo. Investimento em\nEducação e Cultura já pra melhorar a Saúde em noss país!!\nViva Marina Silva!!""}",0,Decidim::ParticipatoryProcess,4,,0,false
30308,Decidim::Proposals::Proposal,20452,1584876,2024-10-30T12:54:33.7624,2024-11-12T01:00:07.349397,0,0,,Decidim::Proposals::Proposal,20452,Decidim::UserBaseEntity,"{""pt-BR"": ""A redução da produção e do consumo de alimentos de origem animal pode contribuir decisivamente para o atingimento do ODS 2 (Redução da Fome) e do ODS 10 (Redução das Desigualdades), uma vez que favorece uma melhor alocação dos recursos naturais na produção de alimentos, com ganhos para a segurança alimentar.""}",0,Decidim::ParticipatoryProcess,15,,2,false
30299,Decidim::Proposals::Proposal,20452,153887,2024-10-30T12:21:58.543094,2024-11-12T01:00:33.538023,0,0,,Decidim::Proposals::Proposal,20452,Decidim::UserBaseEntity,"{""pt-BR"": ""Transformar radicalmente a forma como produzimos e consumimos alimentos é especialmente importante no Brasil, onde 74% das emissões de gases de efeito estufa (GEE) é decorrente de sistemas alimentares. \n\n\n""}",0,Decidim::ParticipatoryProcess,15,,2,false
30305,Decidim::Proposals::Proposal,20450,641755,2024-10-30T12:45:08.578813,2024-11-12T02:01:04.196092,0,0,,Decidim::Proposals::Proposal,20450,Decidim::UserBaseEntity,"{""pt-BR"": ""Investir em educação ambiental de qualidade, de forma integral, transversal, cooperativa, inclusiva, democrática e participativa, para todos os públicos e gerações, reforçando os impactos das mudanças climáticas, principalmente nas populações mais vulneráveis, e a importância da criação de políticas públicas de adaptação e mitigação dos impactos, com o devido envolvimento da sociedade em todas as etapas.""}",0,Decidim::ParticipatoryProcess,15,,2,false
30307,Decidim::Proposals::Proposal,20450,641755,2024-10-30T12:50:48.097497,2024-11-12T02:02:50.884617,0,0,,Decidim::Proposals::Proposal,20450,Decidim::UserBaseEntity,"{""pt-BR"": ""Financiamento de ações voltadas à universalização do saneamento básico, assim como investimentos em tecnologias e medidas para adaptação dos serviços de abastecimento público em situações de emergência climática (grandes inundações ou severas estiagens).""}",0,Decidim::ParticipatoryProcess,15,,2,false
30319,Decidim::Proposals::Proposal,20451,78918,2024-10-30T15:13:04.905116,2024-11-12T01:09:18.496664,0,0,,Decidim::Proposals::Proposal,20451,Decidim::UserBaseEntity,"{""pt-BR"": ""Eu acredito e afirmou não é normal o que está acontecendo com o clima do Planeta, e sei que os deuses estão presentes da abertura do selos do Apocalipse. Muita atenção ao que está acontecendo com a humanidade. ""}",0,Decidim::ParticipatoryProcess,15,,2,false
30323,Decidim::Proposals::Proposal,20450,1300012,2024-10-30T15:23:22.537086,2024-11-12T01:57:34.954504,0,0,,Decidim::Proposals::Proposal,20450,Decidim::UserBaseEntity,"{""pt-BR"": ""Sempre usar o termo \""Ambiental\"" relacionado ao termo \""Sustentabilidade\"" para evitar desinformações nas divulgações de governos e empresas: Sustentabilidade Ambiental é mais assertivo. Vemos muito no mercado o termo \""sustentável\"" relacionado à questão econômica dando ideia de sustentabilidade ambiental. Ou seja, confundindo a população.  ""}",0,Decidim::ParticipatoryProcess,15,,2,false
30333,Decidim::Proposals::Proposal,20412,1545266,2024-10-30T16:23:38.474558,2024-11-12T00:31:40.794174,0,0,,Decidim::Proposals::Proposal,20412,Decidim::UserBaseEntity,"{""pt-BR"": ""A Aliança Global contra a Fome e a Pobreza deve obter áreas (em terra ou em águas) em todos os países (principalmente nos desenvolvidos) para produção de alimentos agroecológicos e de aquicultura multitrófica integrada. O trabalhadores, que terão todos os direitos garantidos, deverão ser destinados as pessoas com maior grau de vulnerabilidade, bem como de imigrantes (de países com graves problemas sociais e econômicos, assim como os países em guerra e os que sofrem com as mudanças climáticas). Toda a empresa (produtora ou vendedora) de alimentos, deve doar as sobras, ao invés de descartar-las, sendo punidas economicamente (com o não aporte de financiamentos) quem descumprir essa norma. Além disso, empresas que realizam trabalhos escravos devem perder suas propriedades, sendo destinada as mesmas para os governos que, obrigatoriamente, deverão utilizar-las para a reforma agrária, ou para a produção pública de alimentos, por meio de trabalhadores (com remuneração) em situação de detenção.""}",0,Decidim::ParticipatoryProcess,15,,1,false
30334,Decidim::Proposals::Proposal,20452,1545266,2024-10-30T16:31:42.029374,2024-11-12T00:58:56.51167,0,0,,Decidim::Proposals::Proposal,20452,Decidim::UserBaseEntity,"{""pt-BR"": ""Para reduzir os impactos realizados na terra, poderia-se propor políticas públicas para a produção de alimentos no mar e nas águas doces, por meio de ilhas flutuantes agroecológicas, através de soluções baseadas na natureza, como as Agroflorestas Flutuantes (conceito: estrutura flutuante nas águas - em mar, rio, lago, represa, lagoa - com dimensionamento estrutural adequado, para que se promova um viver ecológico digno para os seus moradores, na qual concomitantemente ofereça elementos básicos de saúde, por meio da produção de uma alimentação de qualidade, na qual seja composta por área de produção de alimentos, em solo, através de sistemas agroflorestais de base agroecológica e a execução de manejo ecológico, bem como a produção de alimentos, em água, a partir de um sistema de aquacultura multitrófica integrada), alinhadas ao conceito de tecnologias sociais.\n""}",0,Decidim::ParticipatoryProcess,15,,1,false
30346,Decidim::Proposals::Proposal,20450,1029235,2024-10-30T18:05:52.159722,2024-11-12T01:53:45.632949,0,0,,Decidim::Proposals::Proposal,20450,Decidim::UserBaseEntity,"{""pt-BR"": ""A educação é o melhor meio de abordar as questões socioambientais, em nível local e nacional, então os setores  precisam ser repensados, melhor financiados e super valorizados, mas pouco também se fez até hoje na área da educação. A Educação em Mudanças Climáticas é essencial para o enfrentamento da emergência climática e deve não apenas acrescentar conteúdo relevante sobre as mudanças climáticas no currículo, mas garantir que os professores estejam preparados para discutir o tema nas aulas e as escolas e os próprios sistemas educativos sejam resistentes , resilientes e sustentáveis. ""}",0,Decidim::ParticipatoryProcess,15,,2,false
30353,Decidim::Proposals::Proposal,20412,1520230,2024-10-30T20:45:03.034283,2024-11-12T00:31:11.541516,0,0,,Decidim::Proposals::Proposal,20412,Decidim::UserBaseEntity,"{""pt-BR"": ""A Aliança Global contra a Fome e a Pobreza deve estabelecer metas claras e mensuráveis, promovendo a troca de boas práticas entre os países. É essencial investir em programas de segurança alimentar, fortalecer redes de proteção social e garantir acesso a serviços essenciais. Além disso, deve-se priorizar a participação das populações mais vulneráveis, envolvendo esses grupos nas tomadas de decisão.\n\nMarjorie Chaves - Ação da Cidadania""}",0,Decidim::ParticipatoryProcess,15,,1,false
30374,Decidim::Proposals::Proposal,20462,1584264,2024-10-31T00:39:18.351915,2024-11-12T00:24:53.843923,0,0,,Decidim::Proposals::Proposal,20462,Decidim::UserBaseEntity,"{""pt-BR"": ""A extração dos minérios do subsolo deve se reverter em benefícios para as comunidades, e deve ser feita de forma segura para os trabalhadores para que se mitiguem os riscos de acidentes de trabalho, e deve visar não só a geração de riquezas e o lucro, mas o bem comum e a distribuição justa dos recursos advindos desse tipo de exploração. Ademais, a exploração não deve ser feita de forma imprudente, pois os recursos minerais não são renováveis, e se tudo for utilizado no presente, não sobrará para as futuras gerações. Consultar a comunidade é sempre importante, pois é possível que não haja demanda popular para a extração mineral em certas comunidades, e a vontade local deve ser respeitada acima de tudo.""}",0,Decidim::ParticipatoryProcess,15,,1,false
30381,Decidim::Proposals::Proposal,20457,1584264,2024-10-31T11:46:23.051126,2024-11-12T00:42:11.999796,0,0,,Decidim::Proposals::Proposal,20457,Decidim::UserBaseEntity,"{""pt-BR"": ""Esse objetivo, acordado internacionalmente, incluindo no Acordo de Paris, reflete um consenso global sobre a urgência de limitar o aumento da temperatura para evitar consequências climáticas mais severas, como eventos climáticos extremos e a elevação do nível do mar. No entanto, alcançar essa meta exige uma ação coordenada e conjunta entre países, setores econômicos e a sociedade civil, demandando uma transformação profunda nas práticas de produção, consumo e uso de energia que observe melhores práticas. A meta também implica um compromisso contínuo com a inovação tecnológica e a implementação de políticas de sustentabilidade que possam assegurar o cumprimento dos prazos, fazendo com que o limite de 1,5°C seja não apenas uma aspiração, mas uma realidade. \n""}",0,Decidim::ParticipatoryProcess,15,,2,false
30375,Decidim::Proposals::Proposal,20455,1584264,2024-10-31T00:48:23.626869,2024-11-12T00:50:03.144202,0,0,,Decidim::Proposals::Proposal,20455,Decidim::UserBaseEntity,"{""pt-BR"": ""É necessário atender às necessidades dos países em desenvolvimento (Ex.: Sul Global) no enfrentamento das mudanças climáticas. Essa proposta sublinha a responsabilidade dos países desenvolvidos em garantir fundos adequados e adicionais, reconhecendo sua maior contribuição histórica para as emissões de gases de efeito estufa. Os prazos para \""descarbonizar\"" devem ser mais flexíveis para que os países que historicamente não contribuíram de forma substancial com a emissão de CO2 não restem prejudicados em seu desenvolvimento econômico. Com um foco especial na reparação de \""perdas e danos\"", por assim dizer, para o sul global, a iniciativa também aborda a justiça climática, assegurando que países vulneráveis recebam o apoio necessário para lidar com os impactos climáticos em curso atualmente.""}",0,Decidim::ParticipatoryProcess,15,,1,false
30372,Decidim::Proposals::Proposal,20450,1585276,2024-10-31T00:13:09.397897,2024-11-12T01:50:33.773019,0,0,,Decidim::Proposals::Proposal,20450,Decidim::UserBaseEntity,"{""pt-BR"": ""\nO esporte é uma ferramenta poderosa para educar sobre sustentabilidade e mudanças climáticas, impactando diferentes públicos e especialmente os jovens. Além de incentivar hábitos sustentáveis, ele fortalece o senso de responsabilidade socioambiental de maneira ampla e inclusiva. Recomendamos que o G20 apoie iniciativas que usem o esporte como plataforma de aprendizado ativo, promovendo uma transição justa e sustentável para todos.\n\nJadir Figueira, presidente da Associação Jadir de Taekwondo\n""}",0,Decidim::ParticipatoryProcess,15,,2,false
30385,Decidim::Proposals::Proposal,20458,1585398,2024-10-31T12:20:40.397333,2024-11-12T00:37:57.262045,0,0,,Decidim::Proposals::Proposal,20458,Decidim::UserBaseEntity,"{""pt-BR"": ""A democratização das decisões a respeito da gestão climática é fundamental para que as mudanças necessárias para a mitigação dos impactos ambientais atuais e futuros realmente possam acontecer e a sociedade civil possa passar por um momento de conscientização para que o crescimento e desenvolvimento global possam ocorrer de forma justa e sustentável. O investimento em educação é primordial, pois sem garantir a mudança de consciência da população, dificilmente ocorrerá o engajamento necessário para que as mudanças propostas ocorram e surtam os efeitos desejados. É necessário frisar, que o futuro tenebroso de eventuais desastres ambientais já chegou, e que não há mais tempo para pensar em ações futuras, chegou o momento em que o mais relevante para a sociedade, é ´implementar ações presentes, se queremos realmente ter um planeta com condições ideais para sustentar a vida nos moldes que conhecemos. ""}",0,Decidim::ParticipatoryProcess,15,,1,false
30391,Decidim::Proposals::Proposal,20450,1555441,2024-10-31T13:50:35.405115,2024-11-12T01:48:48.679799,0,0,,Decidim::Proposals::Proposal,20450,Decidim::UserBaseEntity,"{""pt-BR"": ""Os impactos da mudança climática e com certeza maiores preocupações  porque ela chegando com velocidade tremenda se os países não se unirem vamos ter consequências imaginarias que nenhum filme de hollywood  já previu Com as  altas temperaturas também poderão causar grandes secas, que afetarão ativamente a agricultura, ocasionando diversos problemas em relação à produção de alimentos e assim a fome  será devastadora.. Os impactos das mudanças climáticas são significativos e afetam desde a nossa saúde , a produção de alimentos ,preços dos produtos e comercialmente todos serão atingidos independente de países ricos  ou países linha de pobreza. Temos esta mãos dadas para  tentarmos amenizar esses impactos que viram ai a natureza perde Socorro .\n\n..\n\n""}",0,Decidim::ParticipatoryProcess,15,,2,false
